SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_550_87,150975,1486600,30563805,349200,4331,200100,2026,65000,2888,71400,
seq_550_88,150975,2217000,30641967,374300,4301,191100,2500,62500,2355,68800,
seq_550_89,150975,1384200,30715697,348000,4334,193900,2666,62600,2703,71000,
seq_550_90,150975,1424000,30788917,345900,4323,191300,2151,499000,2292,76700,
seq_550_91,150975,2479600,30862086,350700,4328,191700,2429,62400,2736,69700,
seq_550_92,150975,1384200,30937480,433100,4313,198200,2683,63300,2373,71200,
seq_550_93,150975,1425800,31012672,375900,4341,191300,2907,70500,2578,71500,
seq_550_94,150975,1362700,31084029,450800,4330,191100,2369,62200,2621,70700,
seq_550_95,150975,1666600,31158353,370200,4328,190900,2431,63300,3050,77700,
seq_550_96,150975,2575200,31232896,655600,4344,190300,2861,64000,2727,71000,
seq_550_97,150975,1394100,31307181,349400,4344,204400,2412,62500,2602,72000,
seq_550_98,150975,1468700,31380732,349700,4321,208700,2532,62900,2200,70300,
seq_550_99,150975,1410500,31457959,364000,4337,198100,3621,69000,2751,70200,
seq_600_0,179700,2079200,31545073,410100,4815,213900,3149,71000,2463,75900,
seq_600_1,179700,2577800,31635557,963300,4794,212400,2427,68200,2570,76500,
seq_600_2,179700,2088600,31726154,780900,4811,344400,3548,109200,2711,110600,
seq_600_3,179700,1620600,31814977,1162600,4763,461000,3271,100000,2964,111700,
seq_600_4,179700,1799500,31902306,412200,4785,208200,2728,69000,2995,77600,
seq_600_5,179700,1680300,31993696,451500,4800,209300,3432,71600,2717,76000,
seq_600_6,179700,1703100,32085062,434100,4803,209300,2879,69400,2737,77100,
seq_600_7,179700,1846500,32175361,543300,4825,209700,3035,68900,3416,79100,
seq_600_8,179700,1637900,32267554,433700,4819,237900,3028,69600,2825,77300,
seq_600_9,179700,1709700,32356299,419000,4805,214500,2551,68100,2829,77400,
seq_600_10,179700,2889700,32445665,424300,4790,210500,3017,75100,2932,79200,
seq_600_11,179700,1709900,32533423,414500,4802,208800,2826,69700,2416,77300,
seq_600_12,179700,1629000,32626412,437500,4785,213600,2334,67700,2838,77000,
seq_600_13,179700,1620000,32718122,431000,4809,208800,2594,68900,2886,78900,
seq_600_14,179700,1729200,32809100,434200,4780,208900,2763,68200,2592,77900,
seq_600_15,179700,2467400,32896688,810200,4793,342800,3509,100600,2956,114900,
seq_600_16,179700,2205700,32986255,426800,4765,223200,3103,69500,3353,78700,
seq_600_17,179700,1687600,33075990,422600,4799,208600,3007,70200,3208,100100,
